#(id,from,to,speed,planTime)
(24370, 426, 1809, 10, 25)
(86812, 1697, 1855, 12, 1)
(23355, 1080, 1834, 8, 27)
(92713, 964, 1106, 14, 3)
(23315, 1676, 1613, 4, 29)
(63794, 1228, 1896, 10, 18)
(44541, 687, 426, 8, 3)
(21367, 1198, 834, 14, 5)
(89492, 1611, 781, 4, 21)
(49254, 433, 834, 12, 18)
(46264, 1195, 1613, 8, 29)
(45951, 320, 1285, 8, 22)
(19655, 541, 1432, 14, 15)
(28262, 1198, 1602, 14, 15)
(58503, 1465, 1197, 14, 26)
(60058, 493, 1567, 4, 24)
(20609, 1825, 1590, 8, 13)
(25686, 1082, 1432, 12, 2)
(106020, 1198, 1601, 4, 18)
(52699, 1503, 313, 16, 3)
(40834, 1087, 395, 6, 12)
